iter	Passed	Remaining
0	1	162
1	3	150
2	4	141
3	5	141
4	7	139
5	8	137
6	10	136
7	11	134
8	13	133
9	14	131
10	16	130
11	17	128
12	19	127
13	20	126
14	21	124
15	23	123
16	24	121
17	26	119
18	27	118
19	29	116
20	30	114
21	31	113
22	33	111
23	34	110
24	36	109
25	37	107
26	39	106
27	40	104
28	42	103
29	43	101
30	45	100
31	46	98
32	47	97
33	49	95
34	50	94
35	52	93
36	53	91
37	55	90
38	56	88
39	58	87
40	59	85
41	61	84
42	62	82
43	64	81
44	65	80
45	67	78
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	66
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	86	57
60	88	56
61	89	54
62	91	53
63	92	51
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	105	39
73	107	37
74	108	36
75	110	34
76	111	33
77	112	31
78	114	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	122	21
85	123	20
86	125	18
87	126	17
88	127	15
89	129	14
90	130	12
91	132	11
92	133	10
93	134	8
94	136	7
95	137	5
96	138	4
97	140	2
98	141	1
99	143	0
